product_id,description,sales_history,demand_target,image_path
P84027,Formal Pink Cotton Skirt,"[258.3137522552306, 258.24311860997375, 265.23457928343873, 288.08886527956156, 279.23557019156533, 272.8215538408149, 272.8502447616831, 274.82900065189796, 266.151944800786, 253.28944940325476, 266.60030193449523, 256.87755314166594, 246.09054406234648, 264.02983356188815, 262.35537100627437, 259.1436216728769, 261.7900891892768, 264.7634716171471, 256.56506012839674, 277.2609236613333, 263.46349185293235, 257.403679628267, 246.99430175870557, 261.8442029776227, 253.04673199686363, 264.5976616342498, 251.7435949267087, 269.17025894302714, 259.379916086863, 267.8987299681951]",263.34,public/images/learning_set\floral_summer_dress.png
P87471,Slim Fit Yellow Silk Jeans,"[269.4569271942234, 296.0864101175064, 290.6015507328942, 303.85373787141594, 277.61790184758854, 285.1309591414965, 288.95547265057087, 276.8636141029162, 250.4379457496742, 260.4343539910349, 255.47598709365752, 244.01504037476792, 235.75252436675947, 257.9365385669351, 267.7917739328641, 268.944384000795, 281.6927751592211, 291.77350474965954, 287.12077462572705, 290.9052616541281, 299.25523044611174, 269.4824864604775, 277.1462279595169, 263.8545666391018, 250.61336991724184, 242.41852231405815, 257.9729787943918, 251.38800886218638, 270.23636281290817, 261.3693936005684]",324.98,public/images/learning_set\blue_denim_jeans.png
P75962,Casual Red Wool Sweater,"[177.04303913772986, 205.16709113137762, 218.74551358297924, 225.20585823832383, 233.53073149478672, 210.98525994790543, 200.01464037819645, 206.44358030273054, 170.03921025217784, 138.51570369332578, 133.4492289605119, 123.79272676777983, 121.7147865355159, 164.00350776497413, 191.03009528969673, 190.21849604773791, 198.4371711116667, 210.95218434560746, 231.5869179667062, 231.3936637747841, 212.08713148396976, 191.73006735819231, 170.65140848195674, 143.93206756388028, 131.12200615411388, 142.33852303511838, 137.17992879047108, 142.09291796712438, 153.21976038073512, 195.46824877015575]",162.06,public/images/learning_set\red_leather_jacket.png
P84233,Formal Black Wool Summer Dress,"[164.68404686442892, 165.65214415060242, 177.26476806638019, 183.68092552308636, 190.21454404778078, 192.80526301783132, 187.3240385751596, 175.891932778742, 144.18297198518448, 121.76623229497142, 128.329472558415, 141.70272706858705, 142.1477331154495, 144.80036985132844, 142.6832934851423, 140.49512339048238, 179.3899134328492, 184.9403852620635, 192.95123832783742, 193.5773073547144, 186.45356085160492, 153.45300018203483, 159.80458876091433, 134.66135982432345, 137.5729558703786, 142.08422911678522, 135.0318533162231, 148.96661021938212, 139.16746325679497, 160.63385027454026]",191.69,public/images/learning_set\floral_summer_dress.png
P66912,Oversized Yellow Polyester Sweater,"[91.10446372540224, 98.12393364703533, 91.63544849552561, 107.04104921029, 144.6263356649601, 121.30134640378303, 115.12662888823945, 104.00880348621993, 98.3733583138024, 92.04680411790392, 67.09695582901243, 79.78115753228887, 71.98609300921117, 80.71828117277751, 88.4061019213554, 99.74410289116682, 115.19772588787211, 132.628175800966, 110.71123501194646, 125.3326642193979, 137.39346460930818, 114.67298284678964, 109.59696877038407, 90.33288942196238, 84.71372210587532, 66.28121795958575, 72.1656862390887, 69.48864352295233, 85.88693284215526, 101.80607018812641]",118.69,public/images/learning_set\red_leather_jacket.png
P68856,Casual Black Polyester Sweater,"[125.43304963666382, 142.73092745452294, 148.99471451446936, 157.17949107665518, 158.5217628331142, 169.0255131023943, 154.16634844358893, 135.65804422830553, 103.99463646012458, 89.80675892421175, 99.21750405199141, 85.2447875977137, 74.43259299061444, 106.49463358454716, 137.52048741560247, 124.20397122264012, 154.12519376069554, 167.20592625191756, 160.13103862917603, 174.74560309515297, 154.67742612473597, 138.913167952573, 112.16596977877893, 103.63889846391827, 71.54570527465252, 97.2078156574701, 76.96752538204349, 85.37120188552247, 100.9380385836844, 105.98621662384136]",148.65,public/images/learning_set\floral_summer_dress.png
P48637,Casual White Polyester Skirt,"[75.37929645618597, 102.97207714394729, 96.46987457413188, 112.4978002346232, 101.0117618179583, 85.82044637297075, 98.72681966655514, 85.16831141955811, 74.51703018395497, 66.14916063429922, 49.40446371335455, 41.07021364481465, 66.40110220475033, 72.94079568593224, 82.64113033429652, 73.75463725420343, 91.20216942973879, 99.75925641649927, 100.03682469966756, 110.06515573061976, 92.2731144249659, 93.4278245987841, 47.97129825264623, 77.73307039775727, 58.165390337581144, 49.35956917255403, 64.80231802204295, 65.17438974123924, 78.08814405664153, 83.56132841882462]",95.86,public/images/learning_set\blue_denim_jeans.png
P60061,Slim Fit Grey Silk Skirt,"[469.36191539393184, 481.0346059777268, 496.67919026751827, 519.0538622423146, 506.936266756059, 498.06847096096516, 488.90986335336925, 474.53791633993507, 436.28485918099074, 446.4044376509368, 420.89866055341594, 429.76942875573314, 433.76422219726516, 454.52461420797226, 460.8105099595108, 451.6050607097536, 489.24124350500927, 513.5854373354207, 504.379385877944, 491.48920254634606, 494.5373646802435, 474.6848169644006, 467.68030889947806, 450.84364475553275, 436.8884698922528, 417.32382927144835, 412.7881909430381, 443.57932396314675, 447.1424903099061, 466.37669508750736]",419.38,public/images/learning_set\blue_denim_jeans.png
P73884,Formal Pink Denim Skirt,"[385.3005354165713, 412.348230315736, 418.5696545302318, 439.24775461964185, 440.0679862887913, 423.50194333698454, 404.62971178415677, 394.15860908397303, 385.76340782409886, 349.50473294198304, 351.73752222893205, 351.89974843492445, 334.6934144679697, 358.2987049338882, 386.5574054029548, 415.388241225051, 407.0245869728524, 446.54241327189857, 449.1053178683103, 441.65315785216444, 428.7316934824994, 399.03259210948363, 400.0883037773475, 337.0198041624673, 367.2183543480654, 338.80829294110197, 336.69247302353153, 339.78383119639267, 396.6764214592781, 395.4761460402201]",352.07,public/images/learning_set\red_leather_jacket.png
P17217,Slim Fit White Cotton Shorts,"[437.12825247465355, 441.49463149400225, 443.5658037442961, 453.24979844219087, 463.1167768918081, 462.78786977115, 452.96733284779117, 413.57309855572197, 426.5823488344442, 401.13106633364885, 380.17372766874524, 381.32594321781653, 407.85566968982135, 406.03615425932384, 393.7198751278674, 454.84356438189036, 438.73713194310375, 453.437529145539, 460.4213783395946, 460.44393174811034, 438.1931185389149, 432.4956600414241, 418.84004386523003, 406.40730819120506, 391.04586177747115, 383.16104999883817, 388.13666703726113, 405.10223418943065, 419.7442976032609, 426.0216016637089]",382.25,public/images/learning_set\red_leather_jacket.png
