product_id,description,sales_history
P001,"Oversized Hoodie Grey Fleece Divided Streetwear","35,42,38,45,50,47,40,55,48,43,52,46,39,51,44,56,41,49,53,37,54,47,42,50,45,58,43,51,48,55"
P002,"Ribbed Knit Crop Top White Basics Ladieswear","22,28,33,30,35,40,37,32,27,38,42,35,29,36,41,34,25,39,43,31,37,44,28,33,40,36,23,38,42,30"
P003,"Tailored Slim Fit Blazer Navy Blue Menswear","10,12,14,11,15,13,16,12,17,14,11,18,13,15,12,19,14,16,13,20,15,17,14,21,16,18,15,22,17,19"
P004,"Baby Soft Cotton Romper Pink Kids Collection","70,75,68,82,77,73,85,71,78,80,74,88,72,79,83,76,90,73,81,86,75,92,74,80,87,78,94,76,83,89"
P005,"Cargo Jogger Pants Olive Green Divided Youth","18,22,25,20,28,24,30,21,26,32,23,29,35,22,27,33,24,31,36,25,30,37,26,33,38,28,34,40,29,35"
P006,"Satin Wrap Midi Dress Burgundy Party Collection","8,10,12,9,14,11,15,10,13,16,11,17,12,14,18,13,19,14,16,20,15,21,16,18,22,17,23,18,20,24"
P007,"Merino Wool Turtleneck Sweater Cream Winter","45,40,35,48,42,38,50,43,37,52,44,39,54,45,41,56,46,42,58,47,43,60,48,44,62,49,45,64,50,46"
P008,"Denim Shorts High Waist Light Blue Summer Women","15,20,28,35,42,50,55,60,48,40,32,25,18,22,30,38,45,52,58,62,50,42,34,26,20,24,32,40,48,55"
P009,"Organic Cotton Basic T-Shirt Pack 3-Pack Multicolor","95,100,92,105,98,103,110,96,108,102,115,99,107,112,97,118,101,109,114,100,120,103,111,116,102,122,105,113,118,104"
P010,"Leather Belt Classic Brown Accessories Menswear","30,32,28,35,31,33,36,29,34,37,30,38,33,35,39,31,40,34,36,41,32,42,35,37,43,33,44,36,38,45"
